category_major_cd,category_major_name,category_medium_cd,category_medium_name,category_small_cd,category_small_name
5,和日配,590,その他,59001,その他
6,パン・乳製品,601,パン,60101,食パン
6,パン・乳製品,601,パン,60102,菓子パン
6,パン・乳製品,601,パン,60103,調理パン
6,パン・乳製品,601,パン,60104,その他パン
6,パン・乳製品,602,生菓子,60201,生菓子
6,パン・乳製品,602,生菓子,60202,饅頭類
6,パン・乳製品,602,生菓子,60203,ケーキ類
6,パン・乳製品,602,生菓子,60204,その他
6,パン・乳製品,603,牛乳,60303,その他牛乳
6,パン・乳製品,604,乳製品,60401,バター
6,パン・乳製品,604,乳製品,60402,マーガリン
6,パン・乳製品,604,乳製品,60403,チーズ
6,パン・乳製品,605,チルド食品,60501,チルド半製品
6,パン・乳製品,605,チルド食品,60502,チルド調味料
6,パン・乳製品,605,チルド食品,60503,チルドデザート
6,パン・乳製品,606,乳飲料,60601,乳飲料
6,パン・乳製品,606,乳飲料,60602,果汁飲料
6,パン・乳製品,606,乳飲料,60603,その他
6,パン・乳製品,607,デザート,60701,プリン
6,パン・乳製品,607,デザート,60702,ヨーグルト
6,パン・乳製品,607,デザート,60703,ゼリー
6,パン・乳製品,607,デザート,60704,その他デザート
6,パン・乳製品,608,冷菓,60801,パーソナルアイス
6,パン・乳製品,608,冷菓,60802,プレミアムアイス
6,パン・乳製品,608,冷菓,60803,ファミリーアイス
6,パン・乳製品,608,冷菓,60804,アイス徳用パック
6,パン・乳製品,608,冷菓,60805,業務用アイス
6,パン・乳製品,608,冷菓,60806,その他冷菓
7,瓶詰缶詰,701,農産乾物,70101,粉類
7,瓶詰缶詰,701,農産乾物,70102,椎茸
7,瓶詰缶詰,701,農産乾物,70103,乾燥豆類
7,瓶詰缶詰,701,農産乾物,70104,その他農産乾物
7,瓶詰缶詰,702,海産乾物,70201,のり
7,瓶詰缶詰,702,海産乾物,70202,海草類
7,瓶詰缶詰,702,海産乾物,70203,煮干し・削りぶし
7,瓶詰缶詰,702,海産乾物,70204,その他海産乾物
7,瓶詰缶詰,703,和風調味料,70301,醤油
7,瓶詰缶詰,703,和風調味料,70302,みりん
7,瓶詰缶詰,703,和風調味料,70303,タレ・つゆ
7,瓶詰缶詰,703,和風調味料,70304,味噌
7,瓶詰缶詰,703,和風調味料,70305,砂糖・甘味料
7,瓶詰缶詰,703,和風調味料,70306,塩
7,瓶詰缶詰,703,和風調味料,70307,調味料の素
7,瓶詰缶詰,703,和風調味料,70308,食用油
7,瓶詰缶詰,703,和風調味料,70309,食用酢
7,瓶詰缶詰,703,和風調味料,70310,その他和風調味料
7,瓶詰缶詰,704,洋風調味料,70401,ドレッシング
7,瓶詰缶詰,704,洋風調味料,70402,ビネガー
7,瓶詰缶詰,704,洋風調味料,70403,ケチャップ
7,瓶詰缶詰,704,洋風調味料,70404,ソース
7,瓶詰缶詰,704,洋風調味料,70405,カレー・シチュー
7,瓶詰缶詰,704,洋風調味料,70406,スパイス
7,瓶詰缶詰,704,洋風調味料,70407,中華材料
7,瓶詰缶詰,704,洋風調味料,70408,その他洋風調味料
7,瓶詰缶詰,705,缶・瓶詰,70501,農産缶詰
7,瓶詰缶詰,705,缶・瓶詰,70502,畜産缶詰
7,瓶詰缶詰,705,缶・瓶詰,70503,水産缶詰
7,瓶詰缶詰,705,缶・瓶詰,70504,フルーツ缶詰
7,瓶詰缶詰,705,缶・瓶詰,70505,瓶詰め
7,瓶詰缶詰,705,缶・瓶詰,70506,その他缶瓶詰め
7,瓶詰缶詰,706,乾麺,70601,乾めん
7,瓶詰缶詰,706,乾麺,70602,乾パスタ
7,瓶詰缶詰,707,即席加工品,70701,即席袋めん
7,瓶詰缶詰,707,即席加工品,70702,即席カップめん
7,瓶詰缶詰,707,即席加工品,70703,即席スープ類
7,瓶詰缶詰,707,即席加工品,70704,即席みそ汁
7,瓶詰缶詰,707,即席加工品,70705,即席パスタ
7,瓶詰缶詰,707,即席加工品,70706,即席食品
7,瓶詰缶詰,707,即席加工品,70707,ふりかけ・お茶漬け
7,瓶詰缶詰,707,即席加工品,70708,米関連即席調味料
7,瓶詰缶詰,707,即席加工品,70709,料理用即席調味料
7,瓶詰缶詰,707,即席加工品,70710,その他加工品
7,瓶詰缶詰,708,コーヒー・お茶,70801,レギュラーコーヒー
7,瓶詰缶詰,708,コーヒー・お茶,70802,インスタントコーヒー
7,瓶詰缶詰,708,コーヒー・お茶,70803,紅茶・ココア
7,瓶詰缶詰,708,コーヒー・お茶,70804,パウダー
7,瓶詰缶詰,708,コーヒー・お茶,70805,日本茶
7,瓶詰缶詰,708,コーヒー・お茶,70806,中国・健康茶
7,瓶詰缶詰,708,コーヒー・お茶,70807,その他
7,瓶詰缶詰,709,嗜好品,70901,ジャム類
7,瓶詰缶詰,709,嗜好品,70902,デザートミックス
7,瓶詰缶詰,709,嗜好品,70903,プレミックス
7,瓶詰缶詰,709,嗜好品,70904,ケーキ・パン材料
7,瓶詰缶詰,709,嗜好品,70905,その他嗜好品
7,瓶詰缶詰,710,飲料,71001,果汁・清涼飲料
7,瓶詰缶詰,710,飲料,71002,炭酸飲料
7,瓶詰缶詰,710,飲料,71003,機能性飲料ドリンク
7,瓶詰缶詰,710,飲料,71004,コーヒー飲料
7,瓶詰缶詰,710,飲料,71005,お茶飲料
7,瓶詰缶詰,710,飲料,71006,水
7,瓶詰缶詰,710,飲料,71007,その他飲料
7,瓶詰缶詰,711,栄養補助剤,71101,ビタミン補助剤
7,瓶詰缶詰,711,栄養補助剤,71102,カルシウム補助剤
7,瓶詰缶詰,711,栄養補助剤,71103,その他栄養補助剤
7,瓶詰缶詰,712,ベビーフード,71201,粉ミルク
7,瓶詰缶詰,712,ベビーフード,71202,ベビーフード
7,瓶詰缶詰,712,ベビーフード,71203,その他補給剤
7,瓶詰缶詰,713,米,71301,米
7,瓶詰缶詰,713,米,71302,その他米加工品
7,瓶詰缶詰,714,タバコ,71401,タバコ
8,菓子,801,ポケット物,80101,チョコレート菓子
8,菓子,801,ポケット物,80102,キャンディー
8,菓子,801,ポケット物,80103,ガム
8,菓子,801,ポケット物,80104,玩具菓子
8,菓子,801,ポケット物,80105,その他ポケット物
8,菓子,802,スナック,80201,ポテトチップス
8,菓子,802,スナック,80202,スナック類
8,菓子,802,スナック,80203,その他スナック
8,菓子,803,チョコ菓子,80301,袋チョコレート
8,菓子,803,チョコ菓子,80302,その他チョコ
8,菓子,804,ビスケット,80401,ビスケット・クッキー
8,菓子,804,ビスケット,80402,クラッカー
8,菓子,804,ビスケット,80403,油菓子
8,菓子,804,ビスケット,80404,その他
8,菓子,805,駄菓子,80501,羊羹・最中
8,菓子,805,駄菓子,80502,ドーナツ
8,菓子,805,駄菓子,80503,常温デザート・ケーキ
8,菓子,805,駄菓子,80504,その他駄菓子
8,菓子,806,豆菓子,80601,落花生
8,菓子,806,豆菓子,80602,ナッツ類
8,菓子,806,豆菓子,80603,その他豆菓子
8,菓子,807,米菓子,80701,あられ・おかき
8,菓子,807,米菓子,80702,煎餅
8,菓子,807,米菓子,80703,その他米菓子
8,菓子,808,珍味,80801,水産珍味
8,菓子,808,珍味,80802,畜産珍味
8,菓子,808,珍味,80803,漬物珍味
8,菓子,808,珍味,80804,ドライフルーツ
8,菓子,808,珍味,80805,その他珍味
8,菓子,809,その他菓子,80901,菓子詰め合わせ
8,菓子,809,その他菓子,80903,その他
9,洗剤,901,洗剤,90102,洗濯用洗剤
9,洗剤,901,洗剤,90103,台所用洗剤
9,洗剤,902,石鹸・シャンプーリンス,90201,化粧石鹸
9,洗剤,902,石鹸・シャンプーリンス,90202,ボディシャンプー
9,洗剤,902,石鹸・シャンプーリンス,90203,入浴剤
9,洗剤,902,石鹸・シャンプーリンス,90204,シャンプー
9,洗剤,902,石鹸・シャンプーリンス,90205,ヘアリンス
9,洗剤,902,石鹸・シャンプーリンス,90206,トリートメント
9,洗剤,903,口中衛生用品,90301,歯磨き
9,洗剤,903,口中衛生用品,90302,歯ブラシ
9,洗剤,903,口中衛生用品,90303,口中清涼剤
9,洗剤,903,口中衛生用品,90304,義歯用剤
9,洗剤,904,衛生紙用品,90401,ティッシュペーパー
9,洗剤,904,衛生紙用品,90402,ペーパータオル
9,洗剤,904,衛生紙用品,90403,トイレットペーパー
9,洗剤,904,衛生紙用品,90404,紙オムツ
9,洗剤,904,衛生紙用品,90405,ちり紙・京花紙
9,洗剤,907,防虫・芳香・消臭剤,90701,殺虫剤
9,洗剤,907,防虫・芳香・消臭剤,90702,防虫剤
9,洗剤,907,防虫・芳香・消臭剤,90703,消臭剤
9,洗剤,907,防虫・芳香・消臭剤,90704,芳香剤
9,洗剤,908,家庭雑貨,90801,清掃手入れ用品
9,洗剤,908,家庭雑貨,90802,洗濯・物干し用品
9,洗剤,908,家庭雑貨,90803,トイレ用品
9,洗剤,908,家庭雑貨,90804,洗面・浴室用品
9,洗剤,908,家庭雑貨,90805,衣料収納・保存用品
9,洗剤,908,家庭雑貨,90806,家庭消耗雑貨
9,洗剤,908,家庭雑貨,90807,カイロ類
9,洗剤,908,家庭雑貨,90808,喫煙用具
9,洗剤,909,台所用品,90901,調理鍋・釜類
9,洗剤,909,台所用品,90902,刃物類
9,洗剤,909,台所用品,90903,調理補助器具キッチンシール
9,洗剤,909,台所用品,90904,調理用消耗品
9,洗剤,909,台所用品,90905,流し用品
9,洗剤,909,台所用品,90906,食品容器
9,洗剤,909,台所用品,90907,卓上用品
9,洗剤,914,ペットフード,91401,ペットフード
9,洗剤,914,ペットフード,91402,ペット用剤
9,洗剤,914,ペットフード,91403,ペット用具
9,洗剤,915,ＤＩＹ用品,91501,建築・塗装材料
9,洗剤,915,ＤＩＹ用品,91503,園芸用品
